930-949 938-954
858-943 926-976
207-307 108-138
452-559 534-756
932-937 937-984
369-906 686-727
688-856 786-793
48-279 328-697
414-975 870-972
988-994 643-895
366-619 886-929
272-420 421-779
800-904 515-825
42-594 344-906
699-989 948-955
510-717 72-117
548-998 994-995
64-975 589-731
260-617 29-88
566-940 822-858
479-598 262-833
666-762 670-763
443-589 690-768
434-450 971-982
114-643 264-411
183-771 164-669
39-889 860-941
849-860 522-554
502-725 342-608
529-653 583-851
373-476 399-918
867-890 751-960
459-463 460-471
368-535 422-482
857-866 53-221
344-692 719-747
664-937 203-331
926-994 991-992
277-896 78-629
435-660 437-874
998-1000 968-971
9-367 982-983
612-947 850-950
48-50 49-616
822-886 831-886
904-983 974-980
221-742 459-654
18-331 91-884
264-290 287-865
638-985 203-630
408-835 453-718
415-511 920-965
989-996 994-999
371-637 603-635
894-986 864-956
136-818 236-844
953-964 447-979
313-758 537-914
706-838 838-847
801-881 817-906
757-946 878-987
661-959 693-701
543-637 987-996
188-855 727-771
80-348 588-694
776-936 470-612
391-461 7-539
993-1000 218-273
152-165 957-995
514-747 725-747
475-846 538-650
982-991 985-996
540-683 682-876
67-521 431-659
118-136 162-166
413-891 589-954
92-905 187-532
102-145 121-197
524-948 872-943
999-1000 328-594
836-961 857-953
292-780 402-537
330-989 459-502
314-651 209-403
865-956 940-991
318-893 596-722
672-720 700-777
431-893 335-473
749-940 755-761
826-948 454-524
205-780 607-918
271-789 259-517
123-937 297-342
730-888 768-810
27-498 409-930
113-498 712-831
354-976 929-953
247-712 909-957
585-821 995-998
507-804 615-841
