(80, 56)
(256, 224)
(384, -214)
(239, -148)
(-376, -81)
(124, -102)
(-325, 393)
(250, -222)
(334, 341)
(-136, 98)
(110, -233)
(114, 98)
(-327, 177)
(-206, 33)
(-249, -62)
(198, -303)
(-327, -42)
(-227, 7)
(96, 260)
(94, 343)
(248, -318)
(-240, 213)
(-21, 5)
(-328, 372)
(-103, 372)
(-153, -305)
(-201, 29)
(163, -137)
(207, -98)
(280, -344)
(-363, -300)
(290, 228)
(-34, -253)
(-396, 60)
(-64, -25)
(-382, 212)
(-307, 180)
(-355, 26)
(-325, -285)
(-111, -253)
(-140, -142)
(-326, 348)
(-143, -308)
(-398, 85)
(-67, -166)
(19, -124)
(-107, 64)
(-196, -11)
(-121, 183)
(-95, 84)
(-84, -320)
(240, 393)
(386, -134)
(-328, 250)
(-338, -60)
(158, 258)
(101, -159)
(289, -37)
(313, 278)
(-336, -298)
