1:1,8,2,3,6,3,9,1,8,7,2,3,1,5,4,7,5,8,5,9,3,8,8,5,8,9,4,8,9,8
2:6,9,1,8,4,2,1,2,6,5,9,2,8,7,4,1,5,6,3,8,1,4,3,5,1,3,3,8,6,6
3:1,5,8,1,9,6,8,1,7,4,7,5,3,8,3,5,6,4,4,3,1,7,4,5,6,1,5,6,8,5
4:8,3,9,4,8,8,6,2,8,5,4,5,1,8,6,5,3,1,9,4,9,9,1,2,6,4,5,4,1,8
5:2,3,8,3,7,1,8,4,5,7,3,2,7,6,4,8,7,9,2,9,4,1,7,1,7,6,1,8,1,5
6:7,9,9,9,9,6,8,7,1,8,5,9,9,1,5,9,7,9,3,2,3,4,1,5,3,4,5,5,2,7
7:3,8,8,9,2,4,5,3,7,7,5,4,7,5,8,6,2,9,2,4,4,7,9,2,2,7,3,5,8,3
8:5,9,4,3,7,6,5,5,2,4,9,8,9,2,4,4,3,3,2,6,7,1,2,3,9,9,3,3,9,5
9:4,5,2,5,5,8,8,2,1,4,4,7,1,7,3,5,1,7,4,3,3,4,3,2,3,2,1,6,7,9
10:2,4,8,3,5,3,4,2,3,5,3,6,3,8,2,7,6,4,9,2,3,6,8,3,5,9,4,4,4,6
11:6,5,4,3,2,9,8,9,5,2,7,1,6,1,2,1,9,4,7,6,3,7,5,9,7,4,5,8,4,3
12:7,5,3,6,7,1,3,1,5,4,3,7,6,8,4,6,9,4,8,1,7,9,6,7,5,1,5,4,1,5
13:5,5,5,3,7,2,9,4,9,4,6,7,8,3,8,8,5,3,6,2,2,9,2,9,8,9,2,3,1,1
14:1,8,8,1,9,6,2,6,9,6,7,6,9,3,7,4,8,6,3,4,3,6,5,9,6,5,6,5,6,9
15:4,9,2,5,4,4,7,9,7,8,9,6,9,4,5,1,7,2,5,4,5,6,9,2,8,4,2,7,6,6
16:1,8,2,2,7,5,4,3,5,8,6,4,7,6,4,5,6,7,5,8,5,8,4,5,8,3,7,4,7,5
17:6,1,5,9,6,2,3,7,1,9,9,6,4,5,6,7,7,4,4,2,2,3,3,2,8,1,3,7,9,4
18:6,1,6,5,5,2,2,3,9,8,8,5,9,3,6,6,9,2,8,9,2,1,2,4,9,9,7,5,7,8
19:3,3,7,2,8,9,8,8,9,1,8,9,8,4,2,8,1,1,2,2,7,5,7,6,3,8,7,7,4,3
20:7,5,2,2,6,5,2,6,1,2,9,2,5,7,9,6,2,3,7,8,1,8,6,1,8,8,1,1,1,1
21:9,8,5,1,8,1,2,8,1,9,4,1,3,7,3,1,9,4,4,6,3,9,5,1,3,7,6,8,1,6
22:9,8,5,8,7,7,9,3,9,8,7,3,3,8,5,2,9,3,2,8,4,6,6,1,8,5,9,8,5,4
23:2,3,3,8,2,5,1,6,3,2,1,3,7,2,7,2,2,6,9,4,6,7,2,9,3,2,7,5,8,9
